food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
Faisselle au coulis de fruits,,,,,,,5.0,
"Faisselle, 0% MG",,,,,,,0.0,
"Faisselle, 6% MG environ",351.0,,353.0,,,,,
"Fromage blanc et crème fouettée sur lit de fruits, sucré",,,,,,16.0,7.0,
"Fromage blanc nature, 0% MG",210.0,,213.0,,,,,
"Fromage blanc nature, 0% MG, enrichi en vitamine D",,,,,,5.0,,
"Fromage blanc nature, 3% MG environ",323.0,,326.0,,,,,
"Fromage blanc nature, 3% MG environ, au bifidus",,,,,,,,
"Fromage blanc nature, 3% MG environ, enrichi en vitamine D",,,,,,,,84.0
"Fromage blanc nature, gourmand, 8% MG environ",485.0,116.0,487.0,117.0,,,,
"Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ",,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG",,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ",,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus",,,,,,14.0,,
"Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ",,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG",,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG",,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ",,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus",,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ",,,,,,,,73.0
"Fromage frais type petit suisse, aux fruits, 2-3% MG",390.0,,392.0,,,,,
"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",,,,,,,,
"Fromage frais type petit suisse, nature, 0% MG",,,,,,,,
"Fromage frais type petit suisse, nature, 4% MG environ",373.0,,376.0,,,,4.0,
"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",,,,,,6.0,,
"Fromage frais type petit suisse, nature, 10% MG environ",621.0,149.0,624.0,150.0,,,,76.0
"Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D",381.0,,383.0,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ",,,,,,,,
"Crème dessert, allégée en MG, rayon frais",334.0,,335.0,,,,,80.0
"Flan aux oeufs, rayon frais",467.0,111.0,469.0,111.0,,,,
"Lait emprésuré aromatisé, rayon frais",,,,,,,,
"Lait gélifié aromatisé, nappé caramel, rayon frais",388.0,,389.0,,,,,
"Lait gélifié aromatisé, rayon frais",,,,,,,,
"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",,,,,3.0,,,
"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",,,,,,,,
"Panna cotta, avec préparations de fruits ou caramel, rayon frais",826.0,198.0,827.0,199.0,,,13.0,
"Gâteau de semoule aux raisins et caramel, rayon frais",615.0,146.0,615.0,146.0,,,,
"Gâteau de riz au caramel, rayon frais",604.0,143.0,604.0,143.0,,,,
"Milk-shake, provenant de fast food",530.0,126.0,531.0,126.0,,,,
"Crème dessert au chocolat, rayon frais",546.0,130.0,548.0,130.0,,,,
"Mousse au chocolat (base laitière), rayon frais",631.0,150.0,633.0,150.0,,,,
"Crème caramel, rayon frais",558.0,132.0,560.0,133.0,,,,69.0
"Crème aux oeufs (petit pot de crème chocolat, vanille, etc.), rayon frais",736.0,176.0,737.0,176.0,,,,
"Riz au lait, rayon frais",532.0,126.0,533.0,126.0,,,,
"Crème brûlée, rayon frais",1130.0,272.0,1130.0,272.0,,,,
"Crème dessert à la vanille, appertisée",558.0,132.0,559.0,133.0,,,,
"Ile flottante, rayon frais",543.0,129.0,544.0,129.0,,,,
"Semoule au lait, rayon frais",511.0,121.0,512.0,122.0,,,,
"Mousse aux fruits, rayon frais",225.0,,227.0,,,,,
"Crème dessert à la vanille, rayon frais",443.0,105.0,444.0,106.0,,,,
"Crème dessert, rayon frais (aliment moyen)",558.0,133.0,559.0,133.0,,,,
"Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais",779.0,186.0,780.0,187.0,,20.0,,
"Crème dessert au café, rayon frais",488.0,116.0,489.0,116.0,,,,
"Crème dessert au caramel, rayon frais",494.0,117.0,495.0,118.0,,,,
"Crème dessert, appertisée (aliment moyen)",569.0,135.0,570.0,135.0,,,,
"Crème dessert au chocolat, appertisée",580.0,138.0,581.0,138.0,,,,69.0
"Crème dessert, rayon frais ou appertisée (aliment moyen)",558.0,133.0,559.0,133.0,,18.0,,
"Cheesecake ou Gâteau au fromage frais, préemballé",1380.0,330.0,1380.0,330.0,,,,
"Tiramisu, préemballé",1010.0,241.0,1010.0,241.0,,,,
"Mousse à la crème de marrons, préemballée",872.0,207.0,872.0,207.0,,,,
"Profiteroles (crème pâtissière et sauce chocolat), préemballées",1150.0,273.0,1150.0,273.0,,,,
"Gâteau de semoule, appertisé",634.0,150.0,634.0,150.0,,,,68.0
"Mousse au chocolat traditionnelle, préemballée",1260.0,303.0,1270.0,304.0,,,,
"Clafoutis aux fruits, préemballé",806.0,192.0,807.0,192.0,,,,
"Liégeois aux fruits, préemballé",612.0,147.0,612.0,147.0,,16.0,,
"Gâteau de riz, appertisé",484.0,115.0,486.0,115.0,,20.0,,71.0
"Fondant au chocolat noir et crème anglaise, préemballé",,,,,,20.0,,
"Gâteau au chocolat, coeur fondant, préemballé (rayon frais)",1520.0,364.0,1520.0,364.0,,,,
Pain perdu,916.0,218.0,916.0,218.0,6.0,29.0,,
"Lait de poule, sans alcool",368.0,,369.0,,,,,
Crème pâtissière,504.0,120.0,504.0,120.0,,18.0,,
"Dessert au soja, aux fruits, sucré, enrichi en calcium, fermenté, préemballé",366.0,,361.0,,,,,
"Dessert au soja, nature, non sucré, non enrichi, fermenté, préemballé",188.0,,181.0,,,,,
"Dessert au soja, nature, non sucré, enrichi en calcium, fermenté, préemballé",176.0,42.0,170.0,,,,,
"Dessert au soja, aux fruits, sucré, non enrichi, fermenté, préemballé",329.0,78.0,324.0,,,11.0,,
"Dessert au soja, aux amandes, fermenté, préemballé",234.0,56.0,228.0,,,,,
"Dessert au soja, aromatisé, sucré, enrichi en calcium, préemballé",401.0,95.0,396.0,,,,,
"Dessert au soja, aromatisé, sucré, non enrichi, préemballé",393.0,,389.0,92.0,,16.0,,
"Dessert végétal sans soja (amande, avoine, chanvre, coco, riz), aromatisé, sucré, non enrichi, préemballé",617.0,148.0,611.0,146.0,,,8.0,
"Dessert végétal sans soja (coco, riz), aux fruits, sucré, enrichi en calcium, fermenté, préemballé",324.0,,324.0,,,16.0,1.0,
"Mousse au chocolat végétale, préemballée",1090.0,262.0,1090.0,262.0,,,14.0,
Fromage (aliment moyen),1400.0,338.0,1410.0,340.0,,,,
"Camembert, sans précision",1160.0,280.0,1170.0,281.0,,,,
Fromage à pâte molle et croûte fleurie (type camembert),1490.0,359.0,1490.0,361.0,,,,
Camembert au lait cru,1110.0,267.0,1120.0,269.0,,,,
Fromage à pâte molle et croûte fleurie double crème environ 30% MG,1380.0,333.0,1380.0,334.0,,,,
Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse,725.0,173.0,733.0,175.0,,,,
Coulommiers,1160.0,279.0,1160.0,280.0,,,,56.0
Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse,781.0,187.0,789.0,189.0,,,11.0,
Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse,632.0,150.0,641.0,152.0,,,,
"Brie, sans précision",1230.0,297.0,1240.0,299.0,,,,
Brie de Meaux,1130.0,271.0,1130.0,273.0,,,,
Brie de Melun,1200.0,288.0,1200.0,290.0,22.0,,,
Carré de l'Est,1360.0,327.0,1360.0,329.0,,,27.0,
Chaource,1140.0,276.0,1150.0,277.0,,,,56.0
Maroilles laitier,1400.0,338.0,1410.0,339.0,,,,
Maroilles fermier,1450.0,349.0,1450.0,351.0,,,,
Neufchâtel,1190.0,287.0,1200.0,289.0,,,,
Fromage à pâte molle triple crème environ 40% MG,1550.0,376.0,1550.0,377.0,,,,
Fromage à pâte molle et croûte lavée (aliment moyen),1320.0,320.0,1330.0,322.0,,0.0,,
"Fromage à pâte molle et croûte lavée, allégé environ 13% MG",825.0,198.0,832.0,199.0,,,,
"Maroilles, sans précision",1350.0,325.0,1360.0,327.0,,,,
Livarot,1250.0,301.0,1260.0,303.0,,,,
Époisses,1200.0,290.0,1210.0,292.0,,,,
Munster,1420.0,344.0,1430.0,345.0,,,29.0,
Langres,1170.0,281.0,1170.0,283.0,,,,
Pont l'Évêque,1350.0,326.0,1360.0,328.0,,,,
Reblochon,1350.0,326.0,1360.0,328.0,,,,
"Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)",1290.0,311.0,1300.0,313.0,,,,
Saint-Marcellin,1160.0,280.0,1160.0,281.0,,,,
Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée,1380.0,332.0,1380.0,334.0,,,29.0,
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse),1250.0,302.0,1260.0,304.0,,,,
Saint-Félicien,1160.0,281.0,1170.0,283.0,,,,
Boulette d'Avesne,1470.0,355.0,1480.0,356.0,,,30.0,
"Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine)",1340.0,324.0,1350.0,326.0,,,27.0,
"Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)",1240.0,300.0,1250.0,302.0,,,,
"Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure)",1310.0,315.0,1310.0,317.0,,,,
Sainte-Maure de Touraine (fromage de chèvre),1220.0,294.0,1230.0,296.0,,,,
Fromage de chèvre demi-sec,1460.0,353.0,1470.0,355.0,,,,
Fromage de chèvre bûche,1180.0,285.0,1190.0,287.0,,,,
"Fromage de chèvre bûche, allégé en matière grasse",747.0,179.0,754.0,180.0,,,10.0,
"Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé",1160.0,279.0,1170.0,281.0,,,,
Fromage de chèvre sec,1830.0,440.0,1840.0,442.0,,,,29.0
Fromage de chèvre à pâte molle et croûte fleurie type camembert,1210.0,292.0,1220.0,294.0,,,,
Fromage de brebis à pâte molle et croûte fleurie,1140.0,276.0,1150.0,277.0,,,,
Chabichou (fromage de chèvre),1220.0,294.0,1230.0,296.0,,,,
Pélardon (fromage de chèvre),1420.0,343.0,1430.0,345.0,,,,
"Crottin de chèvre, au lait cru",1590.0,384.0,1600.0,386.0,,,,
"Crottin de chèvre, sans précision",1410.0,340.0,1420.0,342.0,,,28.0,
Crottin de Chavignol (fromage de chèvre),1230.0,296.0,1240.0,298.0,,,,
Picodon (fromage de chèvre),1310.0,315.0,1320.0,317.0,,,26.0,
Pouligny Saint-Pierre (fromage de chèvre),1220.0,294.0,1230.0,296.0,,,,
Sainte-Maure (fromage de chèvre),1480.0,357.0,1490.0,359.0,,,30.0,
Selles-sur-Cher (fromage de chèvre),1210.0,291.0,1210.0,292.0,,,,
Chevrot (fromage de chèvre),1150.0,277.0,1160.0,279.0,,,,
Rocamadour (fromage de chèvre),1140.0,274.0,1140.0,275.0,,,,
Valençay (fromage de chèvre),1270.0,306.0,1270.0,307.0,,,,
Roquefort,1590.0,384.0,1600.0,386.0,,,,
Fourme de Montbrison,1510.0,365.0,1520.0,367.0,,,,
Fromage bleu au lait de vache,1380.0,333.0,1390.0,334.0,,,,
Fromage bleu d'Auvergne,1420.0,343.0,1430.0,345.0,,,,
Fourme d'Ambert,1350.0,326.0,1360.0,327.0,,,,50.0
Fromage bleu des Causses,1450.0,350.0,1460.0,352.0,,,30.0,
Gorgonzola,1290.0,312.0,1300.0,314.0,19.0,,,
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC),1510.0,364.0,1520.0,366.0,,,,
Fromage bleu de Bresse,1420.0,342.0,1420.0,344.0,,,,
Fromage bleu de Bresse allegé environ 15% MG,1020.0,246.0,1030.0,248.0,,,,
Fromage à pâte pressée cuite (aliment moyen),1620.0,390.0,1630.0,392.0,28.0,0.0,,
Beaufort,1700.0,410.0,1710.0,412.0,,,34.0,
Comté,1730.0,418.0,1740.0,420.0,,,,
Abondance,1630.0,393.0,1640.0,395.0,,,,
Gruyère IGP France,1640.0,396.0,1650.0,398.0,,,32.0,
Gruyère,1760.0,423.0,1770.0,426.0,,,,
Emmental ou emmenthal,1550.0,373.0,1560.0,375.0,,,,
"Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse",1180.0,282.0,1190.0,284.0,,,18.0,
Emmental ou emmenthal râpé,1530.0,367.0,1540.0,370.0,,,,38.0
Ossau-Iraty,1770.0,428.0,1780.0,430.0,,,37.0,
Parmesan,1690.0,406.0,1700.0,409.0,,,31.0,
Fontina,1580.0,381.0,1590.0,383.0,,,,
Pecorino,,,,,,,,
Grana Padano,1650.0,396.0,1660.0,399.0,,,,
Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG,993.0,238.0,1000.0,240.0,29.0,,,
Provolone,1410.0,340.0,1420.0,342.0,,,,41.0
"Fromage à pâte ferme, enrobé de cire",1260.0,303.0,1260.0,304.0,,,,
Cantal entre-deux,1590.0,383.0,1600.0,385.0,,,,
"Cantal, Salers ou Laguiole",1570.0,378.0,1580.0,380.0,,,31.0,
Salers,1610.0,388.0,1620.0,390.0,,,,
Cheddar,1650.0,399.0,1660.0,401.0,24.0,,,
Edam,1370.0,329.0,1380.0,331.0,,,,
Mimolette jeune,1380.0,331.0,1390.0,333.0,,,,
Gouda,1550.0,374.0,1560.0,376.0,,,,
Mimolette demi-vieille,1520.0,365.0,1530.0,368.0,,,,
Mimolette vieille,1650.0,397.0,1660.0,400.0,34.0,,,30.0
"Mimolette, sans précision",1280.0,308.0,1290.0,310.0,,,,
Fromage à pâte ferme environ 27% MG type Maasdam,1490.0,359.0,1500.0,361.0,,,,
Mimolette extra-vieille,1610.0,387.0,1620.0,389.0,,,,31.0
Morbier,1470.0,355.0,1480.0,356.0,,,,
Fromage de brebis des Pyrénées,1640.0,397.0,1650.0,399.0,,,,
"Saint-Nectaire, laitier",1380.0,332.0,1390.0,334.0,,,27.0,
Raclette (fromage),1420.0,342.0,1430.0,343.0,,,,
"Saint-Nectaire, fermier",1470.0,355.0,1480.0,357.0,,,,
"Saint-Nectaire, sans précision",1430.0,344.0,1430.0,346.0,,,,
Saint-Paulin (fromage à pâte pressée non cuite demi-ferme),1360.0,327.0,1370.0,329.0,,,,
Tomme ou tome de vache,1450.0,350.0,1460.0,352.0,,,,
Tomme ou tome de montagne ou de Savoie,1510.0,364.0,1520.0,366.0,,,,
"Tomme ou tome, allégée en matière grasse, environ 13% MG",965.0,231.0,975.0,233.0,31.0,,,51.0
Asiago,1480.0,356.0,1490.0,359.0,,,,
Fromage de brebis Corse à pâte molle,1900.0,457.0,1900.0,460.0,,,,
Tome des Bauges,1580.0,381.0,1590.0,383.0,,,,
Fromage de brebis à pâte pressée,1590.0,384.0,1600.0,386.0,,,,38.0
Fromage de lactosérum de brebis,787.0,190.0,791.0,190.0,,,,
Fromage fondu en tranchettes,1020.0,246.0,1030.0,247.0,,,,
Fromage fondu en portions ou en cubes environ 8% MG,,,,,,,,
Fromage fondu en portions ou en cubes environ 20% MG,1010.0,242.0,1010.0,243.0,,,,
"Fromage fondu double crème, environ 31% MG",1280.0,311.0,1290.0,312.0,,,,
Cancoillotte (spécialité fromagère fondue),630.0,151.0,635.0,152.0,,,,
Spécialité fromagère fondante au fromage blanc et aux noix,,,,,,,,
Snack pour enfants à base de fromage fondu et de gressins,,,,,,,,
"Fromage type feta, au lait de vache",1120.0,270.0,1130.0,271.0,,,,54.0
Fromage 100% brebis (Feta AOP ou type Feta),,,,,,,,
"Fromage type feta, au lait de vache, à l'huile et aux aromates",1180.0,283.0,1180.0,285.0,,,,
Feta AOP,1180.0,285.0,1190.0,286.0,,,,
"Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère",1060.0,255.0,1060.0,256.0,,,,
"Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère",,,,,,,,
"Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)",,,,,,,20.0,60.0
"Fromage de chèvre frais, au lait cru (type palet ou crottin frais)",,,,,,,,
"Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)",,,,,,,,
"Fromage de chèvre à tartiner, nature",,,,,,,,
Spécialité fromagère non affinée à tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes),1510.0,366.0,1510.0,367.0,,,,
Mascarpone,,,,,,4.0,39.0,
Ricotta,,,,,,4.0,,
Mozzarella au lait de vache,943.0,227.0,949.0,229.0,,,,
"Mozzarella au lait de bufflonne ou buflesse (""di bufala"")",1080.0,260.0,1080.0,261.0,,,,
"Spécialité végétale type fromage à tartiner, au soja, préemballée",726.0,175.0,707.0,170.0,,,,
"Spécialité végétale type fromage, à la noix de cajou, préemballée",1830.0,441.0,1830.0,441.0,,,,
"Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée",1130.0,272.0,1130.0,272.0,,,,
"Crème de lait ou spécialité à base de crème légère, teneur en matière grasse inconnue (aliment moyen)",1110.0,269.0,1110.0,269.0,,,26.0,68.0
"Crème de lait, 30% MG, épaisse, rayon frais",1250.0,304.0,1250.0,304.0,3.0,,,
"Crème d'Isigny AOP, >= 35% MG",,,,,,3.0,40.0,
"Crème de lait, 30% MG, semi-épaisse, UHT",1220.0,297.0,1220.0,297.0,,,,
"Crème chantilly, sous pression, UHT",1270.0,308.0,1270.0,308.0,,,,
"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT",798.0,194.0,799.0,194.0,,,,
"Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais",684.0,166.0,685.0,166.0,,3.0,,
"Spécialité à base de crème légère 8% MG, fluide ou épaisse",318.0,,319.0,,,,,
"Crème de lait, 15 à 20% MG, légère, fluide, rayon frais",,,,,,,,
"Eau de source, embouteillée (aliment moyen)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale, embouteillée, faiblement minéralisée (aliment moyen)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Eau minérale (aliment moyen),0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale, plate (aliment moyen)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale, gazeuse (aliment moyen)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eau du robinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Eau embouteillée de source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Hydroxydase, embouteillée, gazeuse, fortement minéralisée (Le Breuil sur Couze, 63)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Vernière, embouteillée, gazeuse, moyennement minéralisée (Les Aires, 34)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Luchon, embouteillée, non gazeuse, faiblement minéralisée (Luchon, 31)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Mont-Roucous, embouteillée, très faiblement minéralisée (Lacaune, 81)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Orée du bois, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Orezza, embouteillée, gazeuse, moyennement minéralisée (Rapaggio, 20B)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Parot, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Plancoet, embouteillée, gazeuse ou non gazeuse, faiblement minéralisée (Plancoet, 22)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Propiac, embouteillée, non gazeuse, fortement minéralisée (Propiac, 26)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Puits St-Georges, embouteillée, gazeuse, moyennement minéralisée (St-Romain-le-Puy, 42)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Quézac, embouteillée, gazeuse, moyennement minéralisée (Quézac, 48)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Reine des basaltes, embouteillée, gazeuse, moyennement minéralisée (Asperjoc, 07)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Rozana, embouteillée, gazeuse, fortement minéralisée (Beauregard, 63)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale Sail-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Sail-les-Bains, 42)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
"Eau minérale Salvetat, embouteillée, gazeuse, moyennement minéralisée (La Salvetat, 34)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale St-Amand, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (St-Amand, 59)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Eau minérale St-Antonin, embouteillée, non gazeuse, fortement minéralisée (St-Antonin-Noble-Val, 82)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,
